date,close,osef,osef,osef,osef,close
18/09/2013,1.3522,1.3358,1.3541,1.3337,1.22%,1.3522
17/09/2013,1.3359,1.3332,1.3369,1.3324,0.19%,1.3359
16/09/2013,1.3334,1.3305,1.3385,1.3295,-0.18%,1.3334
15/09/2013,1.3358,1.3297,1.3382,1.3297,0.48%,1.3358
13/09/2013,1.3294,1.3297,1.3321,1.3253,-0.04%,1.3294
12/09/2013,1.3299,1.3308,1.3324,1.3259,-0.10%,1.3299
11/09/2013,1.3312,1.3268,1.3324,1.3242,0.32%,1.3312
10/09/2013,1.3269,1.3253,1.3275,1.3229,0.11%,1.3269
09/09/2013,1.3255,1.3168,1.3280,1.3158,0.63%,1.3255
08/09/2013,1.3172,1.3181,1.3181,1.3163,-0.06%,1.3172
06/09/2013,1.3180,1.3118,1.3188,1.3103,0.46%,1.3180
05/09/2013,1.3120,1.3206,1.3222,1.3109,-0.67%,1.3120
04/09/2013,1.3209,1.3169,1.3218,1.3155,0.30%,1.3209
03/09/2013,1.3170,1.3190,1.3197,1.3137,-0.17%,1.3170
02/09/2013,1.3192,1.3232,1.3236,1.3182,-0.11%,1.3192
01/09/2013,1.3207,1.3219,1.3219,1.3197,-0.11%,1.3207
30/08/2013,1.3222,1.3240,1.3254,1.3172,-0.14%,1.3222
29/08/2013,1.3241,1.3338,1.3343,1.3218,-0.74%,1.3241
28/08/2013,1.3340,1.3391,1.3397,1.3304,-0.40%,1.3340
27/08/2013,1.3393,1.3367,1.3399,1.3323,0.18%,1.3393
26/08/2013,1.3369,1.3381,1.3394,1.3355,-0.13%,1.3369
25/08/2013,1.3387,1.3378,1.3393,1.3378,0.04%,1.3387
23/08/2013,1.3382,1.3355,1.3409,1.3332,0.19%,1.3382
22/08/2013,1.3356,1.3353,1.3373,1.3297,-0.01%,1.3356
21/08/2013,1.3357,1.3415,1.3427,1.3334,-0.45%,1.3357
20/08/2013,1.3417,1.3335,1.3452,1.3322,0.61%,1.3417
19/08/2013,1.3335,1.3326,1.3374,1.3314,0.05%,1.3335
18/08/2013,1.3329,1.3327,1.3343,1.3321,-0.01%,1.3329
16/08/2013,1.3330,1.3346,1.3379,1.3310,-0.13%,1.3330
15/08/2013,1.3348,1.3254,1.3363,1.3205,0.69%,1.3348
14/08/2013,1.3256,1.3261,1.3278,1.3238,-0.05%,1.3256
13/08/2013,1.3262,1.3298,1.3316,1.3232,-0.29%,1.3262
12/08/2013,1.3300,1.3338,1.3343,1.3276,-0.28%,1.3300
11/08/2013,1.3338,1.3343,1.3344,1.3320,-0.04%,1.3338
09/08/2013,1.3343,1.3379,1.3390,1.3332,-0.28%,1.3343
08/08/2013,1.3381,1.3336,1.3400,1.3326,0.33%,1.3381
07/08/2013,1.3337,1.3305,1.3345,1.3264,0.23%,1.3337
06/08/2013,1.3307,1.3257,1.3323,1.3244,0.37%,1.3307
05/08/2013,1.3258,1.3273,1.3300,1.3231,-0.15%,1.3258
04/08/2013,1.3278,1.3280,1.3288,1.3274,-0.03%,1.3278
02/08/2013,1.3282,1.3205,1.3294,1.3188,0.57%,1.3282
01/08/2013,1.3207,1.3300,1.3310,1.3196,-0.71%,1.3207
31/07/2013,1.3302,1.3262,1.3344,1.3213,0.29%,1.3302
30/07/2013,1.3263,1.3261,1.3301,1.3233,0.01%,1.3263
29/07/2013,1.3262,1.3273,1.3295,1.3238,-0.19%,1.3262
28/07/2013,1.3287,1.3279,1.3294,1.3276,0.06%,1.3287
26/07/2013,1.3279,1.3276,1.3296,1.3251,0.02%,1.3279
25/07/2013,1.3277,1.3198,1.3295,1.3164,0.58%,1.3277
24/07/2013,1.3200,1.3222,1.3256,1.3176,-0.17%,1.3200
23/07/2013,1.3223,1.3184,1.3238,1.3162,0.28%,1.3223
22/07/2013,1.3186,1.3139,1.3218,1.3128,0.21%,1.3186
21/07/2013,1.3158,1.3140,1.3160,1.3136,0.12%,1.3158
19/07/2013,1.3142,1.3109,1.3153,1.3087,0.24%,1.3142
18/07/2013,1.3110,1.3124,1.3127,1.3065,-0.11%,1.3110
17/07/2013,1.3125,1.3160,1.3176,1.3083,-0.28%,1.3125
16/07/2013,1.3162,1.3061,1.3174,1.3051,0.77%,1.3162
15/07/2013,1.3062,1.3065,1.3084,1.2993,0.01%,1.3062
14/07/2013,1.3061,1.3068,1.3080,1.3057,-0.05%,1.3061
12/07/2013,1.3068,1.3095,1.3101,1.2998,-0.21%,1.3068
11/07/2013,1.3096,1.2977,1.3201,1.2962,0.92%,1.3096
10/07/2013,1.2976,1.2779,1.2983,1.2763,1.53%,1.2976
09/07/2013,1.2781,1.2869,1.2898,1.2754,-0.69%,1.2781
08/07/2013,1.2870,1.2824,1.2882,1.2808,0.45%,1.2870
07/07/2013,1.2812,1.2812,1.2833,1.2812,-0.16%,1.2812
05/07/2013,1.2832,1.2912,1.2916,1.2805,-0.63%,1.2832
04/07/2013,1.2913,1.3008,1.3023,1.2882,-0.74%,1.2913
03/07/2013,1.3009,1.2976,1.3030,1.2921,0.23%,1.3009
02/07/2013,1.2979,1.3063,1.3078,1.2962,-0.65%,1.2979
01/07/2013,1.3064,1.3005,1.3066,1.3000,0.42%,1.3064
30/06/2013,1.3009,1.3011,1.3016,1.3006,-0.01%,1.3009
28/06/2013,1.3010,1.3035,1.3103,1.2990,-0.21%,1.3010
27/06/2013,1.3037,1.3010,1.3056,1.2999,0.19%,1.3037
