Date,Open,High,Low,Close,Volume,Adj Close
2003-09-26,100.44,100.66,99.85,99.95,42914700,79.74
2003-09-25,101.41,101.88,100.20,100.28,52673100,80.00
2003-09-24,103.12,103.22,101.07,101.11,41694700,80.66
2003-09-23,102.59,103.29,102.36,102.94,32489200,82.12
2003-09-22,102.85,102.96,102.03,102.55,36677400,81.81
2003-09-19,104.27,104.60,103.40,103.67,34331600,82.71
2003-09-18,103.40,104.70,103.17,104.60,30243600,83.13
2003-09-17,103.48,103.79,103.05,103.38,31885800,82.16
2003-09-16,102.23,103.64,102.17,103.58,37892600,82.32
2003-09-15,102.52,102.63,101.95,102.09,21312800,81.13
2003-09-12,101.91,102.64,101.35,102.45,42524800,81.42
2003-09-11,102.10,102.76,101.84,102.26,38396300,81.27
2003-09-10,102.53,102.80,101.55,101.96,45904900,81.03
2003-09-09,103.37,103.46,102.68,103.00,35053200,81.86
2003-09-08,103.04,103.88,102.93,103.68,32632800,82.40
2003-09-05,102.94,103.55,102.40,102.83,31637300,81.72
2003-09-04,103.10,103.55,102.76,103.41,28381000,82.18
2003-09-03,103.03,103.70,102.78,103.36,44912400,82.14
2003-09-02,101.64,102.88,101.05,102.80,49419100,81.70
2003-08-29,100.61,101.48,100.48,101.44,28706600,80.62
2003-08-28,100.40,101.00,99.66,100.76,27402400,80.08
2003-08-27,100.05,100.36,99.57,100.14,18919500,79.58
2003-08-26,99.50,100.39,98.83,100.11,45065800,79.56
2003-08-25,99.71,100.83,99.28,99.93,23473000,79.42
2003-08-22,101.75,101.82,99.73,99.77,52040300,79.29
2003-08-21,101.05,101.52,100.40,100.77,46494200,80.08
2003-08-20,100.29,100.89,100.16,100.45,21295300,79.83
2003-08-19,100.69,100.94,100.00,100.86,37437700,80.16
2003-08-18,99.93,100.60,99.74,100.48,22873800,79.85
2003-08-15,99.36,99.79,99.12,99.62,12567000,79.17
2003-08-14,99.10,99.75,98.45,99.31,35525100,78.92
2003-08-13,99.82,99.85,98.53,99.04,36152000,78.71
2003-08-12,98.71,99.59,98.42,99.55,43285600,79.12
2003-08-11,98.26,99.04,97.84,98.65,34631400,78.40
2003-08-08,98.32,98.55,97.76,98.28,27357300,78.11
2003-08-07,97.17,98.07,96.76,98.00,43427400,77.88
2003-08-06,96.69,98.06,96.42,96.98,50096900,77.07
2003-08-05,98.41,98.76,96.34,96.42,61415600,76.63
2003-08-04,98.31,99.00,97.00,98.51,55214100,78.29
