date,close,osef,osef,osef,osef,close
22/07/2013,106.91,108.34,108.79,106.43,29,106.91
19/07/2013,108.05,108.12,109.32,107.48,112,108.05
18/07/2013,108.04,106.56,108.43,106.15,155,108.04
17/07/2013,106.48,105.78,106.60,105.11,262,106.48
16/07/2013,106.00,106.44,107.18,105.66,250,106.00
15/07/2013,106.32,106.05,106.63,104.65,210,106.32
12/07/2013,105.95,104.58,106.33,104.36,234,105.95
11/07/2013,104.91,106.15,107.45,104.31,316,104.91
10/07/2013,106.52,104.57,106.66,104.21,404,106.52
09/07/2013,103.53,103.00,104.76,102.31,285,103.53
08/07/2013,103.14,103.95,104.12,102.13,253,103.14
05/07/2013,103.22,101.09,103.68,100.71,256,103.22
04/07/2013,101.40,101.27,101.57,100.71,-,101.40
03/07/2013,101.24,99.61,102.18,99.59,353,101.24
02/07/2013,99.60,98.06,99.87,97.78,285,99.60
01/07/2013,97.99,96.58,98.28,96.07,229,97.99
28/06/2013,96.56,96.81,97.82,96.33,247,96.56
27/06/2013,97.05,95.52,97.41,95.35,269,97.05
26/06/2013,95.50,95.17,95.70,93.68,291,95.50
25/06/2013,95.32,95.02,96.17,94.59,267,95.32
24/06/2013,95.18,93.85,95.59,92.67,315,95.18
21/06/2013,93.69,94.96,95.84,93.12,340,93.69
20/06/2013,95.40,98.02,98.03,94.89,26,95.40
19/06/2013,98.24,98.59,99.01,97.57,111,98.24
18/06/2013,98.44,97.93,98.67,97.41,145,98.44
17/06/2013,97.77,97.85,98.74,97.38,242,97.77
14/06/2013,97.85,96.64,98.25,96.42,240,97.85
13/06/2013,96.69,95.77,96.92,95.02,224,96.69
12/06/2013,95.88,94.89,96.45,94.46,244,95.88
11/06/2013,95.38,95.76,95.91,94.04,257,95.38
10/06/2013,95.77,96.09,96.25,95.19,234,95.77
07/06/2013,96.03,94.72,96.39,93.72,330,96.03
06/06/2013,94.76,93.70,95.32,93.69,267,94.76
05/06/2013,93.74,93.86,94.48,93.41,268,93.74
04/06/2013,93.31,93.35,94.41,92.38,301,93.31
03/06/2013,93.45,91.73,93.70,91.26,287,93.45
31/05/2013,91.97,93.64,93.85,91.56,267,91.97
30/05/2013,93.61,92.89,93.99,91.65,294,93.61
29/05/2013,93.13,95.05,95.22,92.83,293,93.13
28/05/2013,95.01,93.89,95.92,93.23,240,95.01
27/05/2013,93.83,93.54,94.03,93.25,-,93.83
24/05/2013,94.15,94.37,94.39,93.04,203,94.15
23/05/2013,94.25,94.18,94.46,92.21,323,94.25
22/05/2013,94.28,95.90,96.19,94.01,336,94.28
21/05/2013,96.16,96.70,96.97,95.50,-,96.16
20/05/2013,96.71,95.93,97.11,95.23,118,96.71
17/05/2013,96.02,95.15,96.45,94.79,187,96.02
16/05/2013,95.16,94.34,95.57,93.23,297,95.16
15/05/2013,94.30,94.13,94.44,92.13,360,94.30
14/05/2013,94.21,94.93,95.66,93.85,269,94.21
13/05/2013,95.17,95.76,95.81,94.47,297,95.17
10/05/2013,96.04,96.16,96.24,93.37,354,96.04
09/05/2013,96.39,96.60,96.77,95.35,272,96.39
08/05/2013,96.62,95.56,96.77,95.24,276,96.62
07/05/2013,95.62,95.79,96.26,94.92,260,95.62
06/05/2013,96.16,95.58,97.17,94.85,271,96.16
03/05/2013,95.61,93.99,96.04,93.56,297,95.61
02/05/2013,93.99,91.00,94.25,90.65,310,93.99
01/05/2013,91.03,93.08,93.26,90.11,332,91.03
30/04/2013,93.46,94.42,94.62,92.86,277,93.46
29/04/2013,94.50,92.70,94.69,92.43,214,94.50
26/04/2013,93.00,93.24,93.58,92.06,240,93.00
25/04/2013,93.64,91.58,93.87,91.11,270,93.64
24/04/2013,91.43,89.60,91.72,89.21,257,91.43
23/04/2013,89.18,89.28,89.60,87.80,288,89.18
22/04/2013,88.76,87.96,89.13,87.55,35,88.76
19/04/2013,88.01,88.37,88.79,87.56,100,88.01
18/04/2013,87.73,86.39,88.51,85.61,228,87.73
17/04/2013,86.68,88.80,89.09,86.06,294,86.68
16/04/2013,88.72,87.42,88.96,86.06,287,88.72
15/04/2013,88.71,90.95,90.98,87.20,362,88.71
12/04/2013,91.29,93.49,93.52,90.27,325,91.29
11/04/2013,93.51,94.56,94.64,93.06,222,93.51
10/04/2013,94.64,93.96,94.82,93.40,248,94.64
09/04/2013,94.20,93.49,94.48,92.86,234,94.20
08/04/2013,93.36,93.02,93.75,92.46,212,93.36
05/04/2013,92.70,93.36,93.57,91.91,267,92.70
04/04/2013,93.26,94.50,94.84,92.12,355,93.26
03/04/2013,94.45,96.93,96.96,94.18,302,94.45
02/04/2013,97.19,97.00,97.44,95.91,209,97.19
01/04/2013,97.07,97.36,97.80,95.92,192,97.07
28/03/2013,97.23,96.68,97.35,96.26,174,97.23
27/03/2013,96.58,96.18,96.84,95.58,207,96.58
26/03/2013,96.34,94.75,96.45,94.67,214,96.34
25/03/2013,94.81,93.72,95.65,93.70,270,94.81
22/03/2013,93.71,92.33,93.94,92.33,202,93.71
21/03/2013,92.45,93.40,93.53,91.84,214,92.45
20/03/2013,92.96,92.09,93.28,92.09,27,92.96
19/03/2013,92.16,93.80,94.09,92.03,96,92.16
18/03/2013,93.74,93.26,93.94,91.76,151,93.74
15/03/2013,93.45,93.15,93.84,93.00,175,93.45
14/03/2013,93.03,92.51,93.25,92.01,174,93.03
13/03/2013,92.52,92.62,93.40,91.91,251,92.52
12/03/2013,92.54,91.94,93.47,91.60,283,92.54
11/03/2013,92.06,91.83,92.15,90.89,194,92.06
08/03/2013,91.95,91.42,92.03,90.83,219,91.95
07/03/2013,91.56,90.42,91.73,90.22,234,91.56
06/03/2013,90.43,90.83,91.17,89.55,244,90.43
